quarter,output_gap_pct,domestic_inflation_ann_pct,cpi_inflation_ann_pct,real_exchange_rate_pct,policy_rate_ann_pct,real_rate_ann_pct,risk_premium_bps,terms_of_trade_pct,nominal_depreciation_ann_pct
0,-0.6592,-1.5842,44.6235,17.3279,3.0965,3.8067,300.00,28.8798,113.9350
1,-0.2690,-0.7102,-9.7995,13.9194,2.9266,3.2808,240.00,23.1990,-23.4333
2,-0.1160,-0.3543,-7.7195,11.1575,3.0091,3.2104,192.00,18.5958,-18.7673
3,-0.0547,-0.2013,-6.1295,8.9344,3.1591,3.2886,153.60,14.8906,-15.0218
4,-0.0291,-0.1295,-4.8859,7.1507,3.3112,3.4027,122.88,11.9179,-12.0205
5,-0.0177,-0.0915,-3.9019,5.7218,3.4453,3.5138,98.30,9.5364,-9.6175
6,-0.0120,-0.0685,-3.1189,4.5779,3.5573,3.6104,78.64,7.6299,-7.6945
7,-0.0088,-0.0531,-2.4941,3.6625,3.6487,3.6905,62.91,6.1042,-6.1558
8,-0.0067,-0.0418,-1.9949,2.9301,3.7226,3.7557,50.33,4.8835,-4.9247
9,-0.0052,-0.0331,-1.5958,2.3441,3.7819,3.8083,40.27,3.9068,-3.9398
10,-0.0041,-0.0264,-1.2766,1.8753,3.8295,3.8506,32.21,3.1255,-3.1518
11,-0.0033,-0.0211,-1.0212,1.5002,3.8676,3.8845,25.77,2.5004,-2.5215
12,-0.0026,-0.0169,-0.8170,1.2002,3.8981,3.9116,20.62,2.0003,-2.0172
13,-0.0021,-0.0135,-0.6536,0.9602,3.9225,3.9333,16.49,1.6003,-1.6137
14,-0.0017,-0.0108,-0.5229,0.7681,3.9420,3.9507,13.19,1.2802,-1.2910
15,-0.0013,-0.0086,-0.4183,0.6145,3.9576,3.9645,10.56,1.0242,-1.0328
16,-0.0011,-0.0069,-0.3346,0.4916,3.9701,3.9757,8.44,0.8193,-0.8262
17,-0.0009,-0.0055,-0.2677,0.3933,3.9801,3.9846,6.76,0.6555,-0.6610
18,-0.0007,-0.0044,-0.2142,0.3146,3.9881,3.9917,5.40,0.5244,-0.5288
19,-0.0005,-0.0035,-0.1713,0.2517,3.9945,3.9974,4.32,0.4195,-0.4230
20,-0.0004,-0.0028,-0.1371,0.2014,3.9997,4.0019,3.46,0.3356,-0.3384
21,-0.0004,-0.0023,-0.1097,0.1611,4.0038,4.0056,2.77,0.2685,-0.2707
22,-0.0003,-0.0018,-0.0877,0.1289,4.0070,4.0085,2.21,0.2148,-0.2166
23,-0.0002,-0.0014,-0.0702,0.1031,4.0097,4.0108,1.77,0.1718,-0.1733
24,-0.0002,-0.0012,-0.0561,0.0825,4.0117,4.0127,1.42,0.1375,-0.1386
25,-0.0001,-0.0009,-0.0449,0.0660,4.0134,4.0142,1.13,0.1100,-0.1109
26,-0.0001,-0.0007,-0.0359,0.0528,4.0148,4.0154,0.91,0.0880,-0.0887
27,-0.0001,-0.0006,-0.0287,0.0422,4.0158,4.0163,0.73,0.0704,-0.0710
28,-0.0001,-0.0005,-0.0230,0.0338,4.0167,4.0171,0.58,0.0563,-0.0568
29,-0.0001,-0.0004,-0.0184,0.0270,4.0174,4.0177,0.46,0.0450,-0.0454
30,-0.0000,-0.0003,-0.0147,0.0216,4.0179,4.0182,0.37,0.0360,-0.0363
31,-0.0000,-0.0002,-0.0118,0.0173,4.0184,4.0186,0.30,0.0288,-0.0291
32,-0.0000,-0.0002,-0.0094,0.0138,4.0187,4.0189,0.24,0.0231,-0.0233
33,-0.0000,-0.0002,-0.0075,0.0111,4.0190,4.0191,0.19,0.0184,-0.0186
34,-0.0000,-0.0001,-0.0060,0.0089,4.0192,4.0193,0.15,0.0148,-0.0149
35,-0.0000,-0.0001,-0.0048,0.0071,4.0194,4.0195,0.12,0.0118,-0.0119
36,-0.0000,-0.0001,-0.0039,0.0057,4.0196,4.0196,0.10,0.0094,-0.0095
37,-0.0000,-0.0001,-0.0031,0.0045,4.0197,4.0197,0.08,0.0076,-0.0076
38,-0.0000,-0.0001,-0.0025,0.0036,4.0198,4.0198,0.06,0.0060,-0.0061
39,-0.0000,-0.0000,-0.0020,0.0029,4.0198,4.0199,0.05,0.0048,-0.0049
40,-0.0000,-0.0000,-0.0016,0.0023,4.0199,4.0199,0.04,0.0039,-0.0039
